,variable,value
1092,AGILENT TECHNOLOGIES BELGIUM NV,AGILENT TECHNOLOGIES BELGIUM NV
1093,AGILENT TECHNOLOGIES IRELAND LIMITED,AGILENT TECHNOLOGIES IRELAND LIMITED
1094,AGILENT TECHNOLOGIES LDA ISRAEL LTD,AGILENT TECHNOLOGIES LDA ISRAEL LTD
1095,AGILENT TECHNOLOGIES R&D AND MARKETING GMBH & CO KG,AGILENT TECHNOLOGIES R&D AND MARKETING GMBH & CO KG
1096,AGILENT TECHNOLOGIES SA,Agilent technologies were
1097,AGILENT TECHNOLOGIES SALES & SERVICES GMBH & CO KG,AGILENT TECHNOLOGIES SALES & SERVICES GMBH & CO KG
1098,AGILEO AUTOMATION,AGILEO AUTOMATION
1099,AGILEWORKS OU,Agileeworks or
1100,AGILIA CENTER SL,AGILIA CENTER SL
1101,AGIR Association de Gestion Intégrée des Ressources,Acting Integrated Resource Management Association
1102,AGIT AACHENER GESELLSCHAFT FUR INNOVATION UND TECHNOLOGIETRANSFER MITBESCHRANKTER HAFTUNG,AGIT Aachen company for innovation and technology transfer by informed liability
1103,AGITEC AG,Agitec AG
1104,AGJENCIA KOMBETARE E KERKIMIT SHKENCOR DHE INOVACIONIT,National Agency of Scientific Research and Innovation
1105,AGJENCIA KOMBËTARE E PLANIFIKIMIT TË TERRITORIT,National Territorial Planning Agency
1106,AGLARIS CELL SL,AGLARIS CELL SL
1107,AGLARIS LIMITED,AGLARIS LIMITED
1108,AGNICO-EAGLE FINLAND OY,AGNICO-EAGLE FINLAND OY
1109,AGNITIO SL,RECOGNIZING SL
1110,AGNOSYS GMBH,Agnosys GmbH
1111,AGORA P.S.V.D.,Now p.s.v.d.
1112,AGORA SA,Now sa
1113,AGORIA ASBL,AGORIA ASBL
1114,AGORIZE SAS,I am conducted
1115,AGQ MINING & BIOENERGY SL,Agq mining & bioerergy sl
1116,AGRA CEAS CONSULTING LIMITED,Agra Consulting Limited Clock
1117,AGRANA RESEARCH  & INNOVATION CENTER GMBH,AGRANA RESEARCH  & INNOVATION CENTER GMBH
1118,AGRANA STARKE GMBH,Agrana Starke GmbH
1119,AGRAREN UNIVERSITET - PLOVDIV,AGRICULTURAL UNIVERSITY PLOVDIV
1120,AGRARIA PLANA DE VIC I SECCIO DE CREDIT SCCL,Agraria Plana de Vic and Credit SCCL section
1121,Agrarian Research and Development Center,Agrarian Research and Development Center
1122,AGRARNI KOMORA CESKE REPUBLIKY,Agrarni Chamber of Cescends
1123,AGRARTUDOMANYI KUTATOKOZPONT,Agrartudomany
1124,AGRATHAER GMBH,Agrathaer GmbH
1125,AGREENCULTURE,AGREENCULTURE
1126,AGRESEARCH LIMITED,Aggresearch Limited
1127,AGRESTA S COOP,AGRESTA S COOP
1128,AGRI 2000 NET SRL,AGRI 2000 NOT SRL
1129,AGRI CON GMBH PRECISION FARMING COMPANY,AGRI CON GMBH PRECISION FARMING COMPANY
1130,AGRI KULTI NONPROFIT KORLATOLT FELELOSSEGU TARSASAG,Agri Kulti Nonprofit Korlatolt Felelossegu Tarsasag
1131,AGRI PRO AMBIENTE CONSULTORES SA,Agri Pro Environment Consultores SA
1132,AGRI PROTEIN TECHNOLOGIES (PTY) LTD,AGRI PROTEIN TECHNOLOGIES (PTY) LTD
1133,AGRI SUD OUEST INNOVATION,Agri south west innovation
1134,AGRI-DATASERVICES BIOSCOPE BV,AGRI-DATASERVICES BIOSCOPE BV
1135,AGRI-EPI CENTRE LIMITED,AGRI-AND CENTER LIMITED
1136,AGRICAM AKTIEBOLAG,Agricam Companies
1137,AGRICIRCLE AG,Agricircle Ag
1138,AGRICOLA INTERNATIONAL SA,Agricola International SA
1139,AGRICOLA PAGNAN SRL,Easy
1140,AGRICOLA VILLENA COOPERATIVA VALENCIANA,Agricola Villena Cooperativa Valenciana
1141,AGRICOLTURA E VITA - ASSOCIAZIONE,Agriculture and life - Association
1142,AGRICOLUS S.R.L.,Farmers S.R.L.
1143,AGRICON HUNGARY PRECISION FARMING KORLATOLT FELELOSSEGU TARSASAG,Agricon Hungary Precision Farming Korlatolt Felelossegu Tarsasag
1144,AGRICONSULTING EUROPE S.A.,AGRICONSULTING EUROPE S.A.
1145,AGRICONSULTING SPA,AGRICONSULTING SPA
1146,AGRICULTURAL & ENVIRONMENTAL SOLUTIONS,AGRICULTURAL & ENVIRONMENTAL SOLUTIONS
1147,AGRICULTURAL ACADEMY,AGRICULTURAL ACADEMY
1148,Agricultural Catchments Programme,Agricultural Catchments Programme
1149,AGRICULTURAL COMPANY IN THE UPPER GALILEE,AGRICULTURAL COMPANY IN THE UPPER GALILEE
1150,AGRICULTURAL INDUSTRY ELECTRONICS FOUNDATION AEF,AGRICULTURAL INDUSTRY ELECTRONICS FOUNDATION AEF
1151,Agricultural Magnetics Limited,Agricultural Magnetics Limited
1152,AGRICULTURAL RESEARCH COUNCIL (ARC),AGRICULTURAL RESEARCH COUNCIL (ARC)
1153,Agriculture and Agri-Food Canada,Agriculture and Agri-Food Canada
1154,AGRIDEA SCHWEIZERISCHE VEREINIGUNGFUR DIE ENTWICKLUNG DER LANDWIRTSCHAFT UND DES LANDLICHEN RAUMS,Agridea Swiss Association for the development of agriculture and the rural region
1155,AGRIFARM INNOVATION APS,AGRIFARM INNOVATION APS
1156,AGRIFIRM GROUP BV,AGRIFIRM GROUP BV
1157,AGRIFOOD AND BIOSCIENCES INSTITUTE,AGRIFOOD AND BIOSCIENCES INSTITUTE
1158,AGRIFOOD CAPITAL BV,AGRIFOOD CAPITAL BV
1159,AgriFood Lithuania DIH,AgriFood Lithuania DIH
1160,AGRIFUTUR SRL,AGRIFUTUR SRL
1161,AGRIGES SRL,Agriges srl
1162,AGRILOGISTICA SRL,AGRILOGISTICA SRL
1163,AGRIMESSINA SRL,Agrimeessina srl
1164,AGRIMETRICS LIMITED,AGRIMETRICS LIMITED
1165,AGRINEWTECH SRL,Agrinewtech Srl
1166,AGRINT SENSING SOLUTIONS LTD,AGRINT SENSING SOLUTIONS LTD
1167,AGRIPORT A7 B.V.,AGRIPORT A7 B.V.
1168,AGRIS SARDEGNA - AGENZIA PER LA RICERCA IN AGRICOLTURA,Agris Sardegna - Agency for research in agriculture
1169,AGRISAT IBERIA SL,Agrisat Iberia Sl
1170,AGRISERA AKTIEBOLAG,Agrising a limited liability company
1171,AGRISTARBIO - ENVIRONMENTAL SOLUTIONS LDA,AGRISTARBIO - ENVIRONMENTAL SOLUTIONS LDA
1172,AGRISTUDIO SRL,Agristudio srl
1173,AGRITEST SRL,AGRITEST SRL
1174,"AGRIVI DOO ZA PROIZVODNJU, TRGOVINU I USLUGE","AGRIVI doo for production, trade and services"
1175,AGRIWATCH BV,AGRIWATCH BV
1176,AGRO APPS I.K.E.,AGRO APPS I.K.E.
1177,AGRO INNOVATION INTERNATIONAL,AGRO INNOVATION INTERNATIONAL
1178,AGRO INTELLIGENCE APS,AGRO INTELLIGENCE APS
1179,AGRO LV LIMITED,AGRO LV LIMITED
1180,AGRO SEED RESEARCH,AGRO SEED RESEARCH
1181,AGRO-KNOW,AGRO-KNOW
1182,AGROBICS LTD,AGROBICS LTD
1183,AGROBIO SL,Agrobio sl.
1184,AGROBIOINSTITUTE,Agrobioinstitute
1185,AGRODIATROFIKI SIMPRAKSI TIS PERIFERIAS KENTRIKIS MAKEDONIAS ASTIKI MI KERDOSKOPIKI ETAIREIA,Agricultural Partnership of Central Macedonia Peripheral Urban Non-Profit Company
1186,AGROECOLOGY EUROPE,AGROECOLOGY EUROPE
1187,AGROFIELD SOCIEDAD LIMITADA,Agrofield Sociedad Limitada
1188,AGROGEO AGARFEJLESZTO-FOLDTANI-FOVALLALKOZO KORLATOLT-FELELOSSEGU TARSASAG,Agrogeo Agarfejleszto-foldani-fovallalkozo Korlatolt-Felelossegu Tarsasag
1189,AGROILLA SAT,Agroila sat.
1190,Agroindustria Aragonesa S.A.,Aragonese agroindustry S.A.
1191,AGROINDUSTRIAL KIMITEC SL,AGROINDUSTRIAL KIMITEC SL
1192,AGROINDUSTRIAL PASCUAL SANZ SL,Agroindustrial Pascual Sanz SL
1193,AGROINSIDER LDA,Agriinsider Lda
1194,AGROINSTITUT NITRA STATNY PODNIK,Agroinstitut Nitra State Enterprise
1195,AGROISOLAB GMBH,Agroisolab GmbH.
1196,AGROKNOW IKE,"Oh, w"
1197,AGROM KG,AGROM KG
1198,AGROMALLORCA SAT BA-09,Agromallorca Sat BA-09
1199,AGROMET IDIOTIKI KEFALAIOUCHIKI ETAIREIA,Agrometer Private Capital Company
1200,AGROMET SRL,AGROMET SRL
1201,AGRONERGY,Agrongy
1202,AGROOF,AGROOF
1203,AGROPARISTECH INNOVATION,AGROPARISTECH INNOVATION
1204,AGROPOLIS INTERNATIONAL ASSOCIATION,AGROPOLIS INTERNATIONAL ASSOCIATION
1205,AGROPRODUKT-SINKOVIC DOO,Agroprodukt-Sinkovic doo
1206,AGROPTIMA SL,Agropters Sl
1207,AGRORESURSU UN EKONOMIKAS INSTITUTS,Agriursura and economic institute
1208,AGROSMART SIA,AGROSMART is
1209,AGROSOLUTIONS,AGROSOLUTIONS
1210,AGROSUSTAIN SA,Agrosustain SA
1211,AGROTECH VALLEY FORUM EV,AGROTECH VALLEY FORUM EV
1212,AGROTIKOS KTINOTROFIKOS SINETAIRISMOS DITIKIS ALLADOS,Agricultural Livestock Cooperative of Western Between
1213,AGROTIKOS SYNETAIRISMOS KTINOTROFON AIGOPROVATOTROFON NOMOU PIERIAS,Agricultural Cooperative of Breeder Battlefields Lawns Law Pieria
1214,AGROTIKOS SYNETAIRISMOS PELLAS,Pella Agricultural Cooperative
1215,AGROTIKOS SYNETAIRISMOS POLISEOS XIRON KAI NOPON STAFYLION KIATOY KORINTHIAS PIGASOS,Agricultural Cooperative of Dry and Fresh Grapes Kiato Korinthias Pegasus
1216,AGROTIKOS SYNETAIRISMOS PROIONTON AGIAS O KISSAVOS,Agricultural Cooperative of Agia Kissavos
1217,AGROTIKOS SYNETAIRISMOS STEBIA ELLAS,Rural Cooperative Stavia Hellas
1218,AGROTIKOS SYNETERISMOS OPOROKIPEYTIKON MANDALOU H PROODOS,Agricultural Collection of Fruit and Vegetables Lady Progress
1219,AGROTOBIOMHCHANIKOS SYNETAIRISMOS TYMPAKIOY,Agrot-industrial cooperative of Tympaki
1220,AGROVAST LIVSMEDEL AKTIEBOLAG,Agrovast Food Companies
1221,AGROVEGETAL SA,AgroveGetal to
1222,AGROVET GMBH,Agrovet Rock
1223,AGRUPACIO DE MUNICIPIS TITULARS DEL SERVEI DE TRANSPORT URBA DE LA REGIO METROPOLITANA DE BARCELONA,Group of municipalities holding the Urba Transport Service of the Metropolitan Region of Barcelona
1224,AGRUPACION CANTABRA DE CONSTRUCCION E INGENIERIA SA,Agrupacion Cantabra de Construccion and Engineering SA
1225,AGRUPACION CLUSTER DE ELECTRODOMESTICOS DE EUSKADI AIE,Euskadi AIE Application Cluster Cluster Agrup
1226,AGRUPACION EMPRESARIAL INNOVADORA EN CIBERSEGURIDAD Y TECHNOLOGIAS AVANZADAS,Innovative business group in cybersecurity and advanced technologies
1227,AGRUPACION MEDITERRANEA DE INGENIERIA SA,Agrupacion Mediterranea de Engineering SA
1228,AGRUPAMENTO DE ESCOLAS DA MAIA,Maia School Grouping
1229,"Agrupamento de Escolas de Alvalade, Lisboa","Grouping of Alvalade Schools, Lisbon"
1230,AGRUPAMENTO DE ESCOLAS DE VALONGO,Valongo School Grouping
1231,AGT GROUP (R&D) GMBH,AGT Group (R & D) GmbH
1232,"AGUA, ENERGIA Y MEDIOAMBIENTE SERVICIOS INTEGRALES SL","Water, Energy and Environment Comprehensive Services SL"
1233,AGUAS DE GAIA EM SA,Aguas de Gaia Me Sa
1234,AGUAS DO ALGARVE SA,Aguas do Algarve SA
1235,AGUAS DO TEJO ATLANTICO SA,Aguas do Tagus Atlantico SA
1236,"AGUAS INDUSTRIALES DE TARRAGONA, SA","Industrial Aguas de Tarragona, SA"
1237,"AGUAS MUNICIPALIZADAS DE ALICANTE, EMPRESA MIXTA","Municipalized Waters of Alicante, Mixed Company"
1238,AGUAS NORTE S.A,Aguas Norte S.A.
1239,AGUSTAWESTLAND LIMITED,AGUSTAWESTLAND LIMITED
1240,AGV SPA,Due to spa
1241,AGVR BV,AGVR BV
1242,AHAVA DEAD SEA LABORATORIES LTD,AHAVA DEAD SEA LABORATORIES LTD
1243,AHEAD THERAPEUTICS SL,AHEAD THERAPEUTICS SL
1244,AHK BUSINESS CENTER SA,AHK BUSINESS CENTER IN
1245,AHK Services s.r.o.,AHK Services s.r.o.
1246,AHLERS BELGIUM NV,AHLERS BELGIUM NV
1247,AHLMANIN KOULUN SAATIO SR,Ahlman's School SR
1248,AHLSTROM-MUNKSJÖ SPECIALTIES,Ahlstrom Munksjö Specialties
1249,AHMADU BELLO UNIVERSITY,Ahmadu nice university
1250,AHRENHORSTER EDELFISCH GMBH & CO.KG,Ahrenhorster Edelfisch GmbH & Co.KG
1251,AHT Management Kft,AHT Management Ltd.
1252,AHT-Management,Hurt management
1253,AI CYPRUS ETHICAL NOVELTIES LTD,AI CYPRUS ETHICAL NOVELTIES LTD
1254,AI-BIOPHARMA,Ai-Bio Pharma
1255,AI3P,He is playing
1256,AI4BD GMBH,AI4BD GmbH
1257,AIA SCIENCE AS,AIA SCIENCE AS
1258,AIBILI ASSOCIACAO PARA INVESTIGACAO BIOMEDICA E INNOVACAO EM LUZ E IMAGEM,Aibili association for biomedical and innovation investigation in light and image
1259,AICARDI MARCO,Aicardi Marco
1260,AICARR ASSOCIAZIONE ITALIANA CONDIZIONAMENTO DELL ARIARISCALDAM ENTO E REFRIGER,Aicarr Italian Association of Air Arisacaldam Ento and Refriger
1261,AICAS GMBH,AICAS GmbH
1262,AICE CONSULTING SRL,Near Consulting etc.
1263,AICF AGRO INOVACAO S.A.,Aicf agro iovaco s..
1264,AICHERNIG ENGINEERING GMBH,AICHERNIG ENGINEERING GMBH
1265,AICHI SEIKO KABUSHIKI KAISHA,Aichi Iko Kabushi
1266,AICON 3D SYSTEMS GMBH,AICON 3D SYSTEMS GMBH
1267,AICTX AG,AICX AG
1268,AICURIS ANTI-INFECTIVE CURES GMBH,AICURIS ANTI-INFECTIVE CURES GMBH
1269,AICURIS GMBH & CO. KG,Aikuri S GmbH & Kito. Kg
1270,AIDA COMO CAMARA DE COMERCIO E INDUSTRIA DO DISTRITO DE AVEIRO,Aida as Camera de Comercio and Industria de District de Aveiro
1271,AIDEAS OU,AIDEAS OR
1272,AIDENCE HOLDING BV,AIDENCE HOLDING BV
1273,AIDPLEX IKE,Ai DP ぇ x
1274,AIEL ASSOCIAZIONE ITALIANA ENERGIE AGROFORESTALI,AIEL ITALIAN AGROFORESTAL ENERGY ASSOCIATION
1275,AIFORIA TECHNOLOGIES OY,Aifria Technologies Oy
1276,AIFOTEC AG,AIFOTEC AG
1277,AIGNER MANFRED,Aigner Manfred
1278,"AIGUES DE BARCELONA, EMPRESA METROPOLITANA DE GESTIO DEL CICLE INTEGRAL DE LAIGUA SA","Aigues de Barcelona, Metropolitan Metropolitan Company of the Integral Cycle of Laigua SA"
1279,"Aigues de Manresa, S.A.","Aigues de Manresa, S.A."
1280,AIKO SRL,Aiko SRL
1281,AILLERON SA,Ailleron SA
1282,AIM GMBH - ASSESSMENT IN MEDICINE RESEARCH AND CONSULTING,AIM GMBH - ASSESSMENT IN MEDICINE RESEARCH AND CONSULTING
1283,AIMA NAPOLI ONLUS,Aima Napoli Onlus
1284,AIMERIT SL,Like SL
1285,AIMES GRID SERVICES COMMUNITY INTEREST COMPANY,AIMES GRID SERVICES COMMUNITY INTEREST COMPANY
1286,AIMES MANAGEMENT SERVICES LIMITED,AIMES MANAGEMENT SERVICES LIMITED
1287,AIMOTIVE INFORMATIKAI KFT,Aimotive Informatikai Kft
1288,AIMPLAS - ASOCIACION DE INVESTIGACION DE MATERIALES PLASTICOS Y CONEXAS,Aimplas - Research Association of Plastic and Related Materials
1289,AIMSUN SLU,Aimsun Slu.
1290,AIMTECH CONSULTING LIMITED,AIMTECH CONSULTING LIMITED
1291,AINIA,Insert
1292,AINOOUCHAOU PLIROFORIKI AE,AIAUKACHONI Information Technology
1293,AIR BONAITA SPA,AIR BONAITA SPA
1294,AIR BP LIMITED,AIR BP LIMITED
1295,AIR CARGO BELGIUM,AIR CARGO BELGIUM
1296,AIR CLEAN SRL,AIR CLEAN SRL
1297,AIR EUROPA LINEAS AEREAS SA,Air Europe Lines Aereas SA
1298,AIR FRANCE SA,Air France SA
1299,AIR FUSION SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,Air Fusion Spool with limited responsibility
1300,AIR LIQUIDE ADVANCED BUSINESS,AIR LIQUIDE ADVANCED BUSINESS
1301,AIR LIQUIDE ADVANCED TECHNOLOGIES SA,Air Liquide Advanced Technologies SA
1302,AIR LIQUIDE FORSCHUNG UND ENTWICKLUNG GMBH,Air Liquide Research and Development GmbH
1303,AIR LIQUIDE FRANCE INDUSTRIE,Air Liquide France Industry
1304,AIR LIQUIDE GLOBAL E&C SOLUTIONS FRANCE,Air Liquide Global E & C Solutions France
1305,AIR LIQUIDE NORWAY AS,AIR LIQUIDE NORWAY AS
1306,AIR MARINE SARL,AIR MARINE SARL
1307,AIR NAVIGATION SERVICE FINLAND OY,AIR NAVIGATION SERVICE FINLAND OY
1308,AIR PRODUCTS,AIR PRODUCTS
1309,AIR PRODUCTS PLC,AIR PRODUCTS PLC
1310,AIR PRODUCTS SP. Z O. O.,Air Provisional R. Z O. O.
1311,AIR S.PACE GMBH,AIR S.PACE GMBH
1312,AIR SRL,AR
1313,AIR WORLDWIDE LIMITED,AIR WORLDWIDE LIMITED
1314,AIRBORNE COMPOSITES AUTOMATION BV,AIRBORNE COMPOSITES AUTOMATION BV
1315,AIRBORNE COMPOSITES BV,AIRBORNE COMPOSITES BV
1316,AIRBOXLAB SA,AirBoxLab SA.
1317,AIRBUS,AIRBUS
1318,AIRBUS CYBERSECURITY GMBH,AIRBUS CYBERSECURITY GMBH
1319,AIRBUS CYBERSECURITY SAS,AMPOS YOUR JUSTRYTYRY
1320,AIRBUS DEFENCE AND SPACE GMBH,AIRBUS DEFENCE AND SPACE GMBH
1321,AIRBUS DEFENCE AND SPACE LTD,AIRBUS DEFENCE AND SPACE LTD
1322,AIRBUS DEFENCE AND SPACE NETHERLANDS BV,AIRBUS DEFENCE AND SPACE NETHERLANDS BV
1323,AIRBUS DEFENCE AND SPACE SA,AIRBUS DEFENCE AND SPACE SA
1324,AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE AND SPACE SAS
1325,AIRBUS DS SAS,ASPROS YOU
1326,AIRBUS DS SLC,AIRBUS DS SLC
1327,AIRBUS GROUP LIMITED,AIRBUS GROUP LIMITED
1328,AIRBUS GROUP SAS,AMPOS YOUR BOOK
1329,Airbus Group Spain,Airbus Group Spain
1330,AIRBUS HELICOPTERS,AIRBUS HELICOPTERS
1331,AIRBUS HELICOPTERS DEUTSCHLAND GMBH,Airbus Helicopters Deutschland GmbH
1332,AIRBUS HELICOPTERS ESPANA SA,Airbus Helicopters Espana in
1333,AIRBUS ITALIA SPA,Airbus Italia Spa
1334,AIRBUS OPERATIONS GMBH,AIRBUS OPERATIONS GMBH
1335,AIRBUS OPERATIONS LIMITED,AIRBUS OPERATIONS LIMITED
1336,AIRBUS OPERATIONS SAS,APPROVE YOUR OPERATIVES
1337,AIRBUS OPERATIONS SL,AIRBUS OPERATIONS SL
1338,AIRCRAFT DEVELOPMENT AND SYSTEMS ENGINEERING (ADSE) BV,AIRCRAFT DEVELOPMENT AND SYSTEMS ENGINEERING (ADSE) BV
1339,AIRCRAFT RESEARCH ASSOCIATION LIMITED,AIRCRAFT RESEARCH ASSOCIATION LIMITED
1340,AIRHOLDING S.A.,AIRHOLDING S.A.
1341,AIRHUB BV,Airhub BV
1342,AIRINNOVA AB,AIRINNOVA AB
1343,AIRLANE TECHNOLOGIES,AIRLANE TECHNOLOGIES
1344,AIRMAP DEUTSCHLAND GMBH,Airmap Deutschland GmbH
1345,AIRMIZ AB,Airmiz
1346,Airmodus Ltd.,Airmodus Ltd.
1347,AIROBOT,Airobot
1348,AIROPTIC SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,Airoptic Spool with limited responsibility
1349,AIRPLANE SOLUTIONS SL,AIRPLANE SOLUTIONS SL
1350,AIRPORT GURUS SL,AIRPORT GURUS SL
1351,AIRPORT REGIONS COUNCIL,AIRPORT REGIONS COUNCIL
1352,AIRSENSE ANALYTICS GMBH,AirSense Analytics GmbH
1353,AIRTAME APS,AirTame ApS.
1354,AIRTEL ATN LIMITED,AIRTEL ATN LIMITED
1355,AIRTIES KABLOSUZ ILETISIM SANAYI VEDIS TICARET ANONIM SIRKETI,Afreakies Wireless Message Sensita VEDIS TICARET Anoni Side
1356,AIRTIFICIAL AEROSPACE & DEFENSE ENGINEERING SA,AIRTIFICIAL AEROSPACE & DEFENSE ENGINEERING SA
1357,AIRTIFICIAL AEROSPACE & DEFENSE SAU,AIRTIFICIAL AEROSPACE & DEFENSE SAU
1358,AIRTIFICIAL CW INFRASTRUCTURES COMPOSITES SL,AIRTIFICIAL CW INFRASTRUCTURES COMPOSITES SL
1359,AIRTIGHT AS,AIRTIGHT AS
1360,"AIRTREN, S.L.","AIRTREN, S.L."
1361,AIRYX GMBH,Ai RYX GmbH
1362,AIS AUTOMATION DRESDEN GmbH,AIS Automation Dresden GmbH
1363,AISCAT SERVIZI SRL,AISCAT SERVIZI SRL
1364,AISCREENINGS,Aiscreenings
1365,AISFOR SRL,AISFOR SRL
1366,AISLAMIENTOS TERMICOS DE GALICIA SA,Thermal isolates of Galicia SA
1367,AISOLVE LIMITED,AISOLVE LIMITED
1368,AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH,AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH
1369,AITEC ASESORES INTERNACIONALES SRL,AITEC International Advisors SRL
1370,AITEK BV,Aitek BV
1371,AITEK SPA,AITEK SPA
1372,AITIA INTERNATIONAL INFORMATIKAI ZARTKORUEN MUKODO RT,AITIA International Informatics Zartoruen Mukodo Rt
1373,AITRONIK SRL,Atronik srl
1374,AIVA TECHNOLOGIES SARL,Aiva Technologies Sarl
1375,AIXACCT SYSTEMS GMBH,AIXACCT SYSTEMS GMBH
1376,AIXTRON LIMITED,AIXTRON LIMITED
1377,AIXTRON SE,AIXTRON SE
1378,AIZOON CONSULTING SRL,AIZOON CONSULTING SRL
1379,AJ INNUSCREEN GMBH,I Innuscreen GmbH
1380,AJINOMOTO ANIMAL NUTRITION EUROPE,AJINOMOTO ANIMAL NUTRITION EUROPE
1381,AJL OHPTHALMIC S.A.,Yes.
1382,AJT WOHN- UND QUARTIERZENTRUM WEITERSTADT GMBH & CO. KG,AJT Residential and Quartier Center Furstadt GmbH & Co. Kg
1383,AJUNTAMENT ALMATRET,ALMETRET Town Hall
1384,AJUNTAMENT DOLOT,Dolot City Hall
1385,AJUNTAMENT DE BADALONA,Ayuntamiento de Badalona
1386,AJUNTAMENT DE BARCELONA,CITY HALL OF BARCELONA
1387,AJUNTAMENT DE GRANOLLERS,Ayuntamiento de Granollers
1388,AJUNTAMENT DE LHOSPITALET DE LLOBREGAT,Lhospitalet de Llobregat Town Hall
1389,AJUNTAMENT DE LLOSETA,Lloseta Town Hall
1390,AJUNTAMENT DE MANLLEU,Manlleu Town Hall
1391,AJUNTAMENT DE MANRESA,Manresa Town Hall
1392,AJUNTAMENT DE MOLLET DEL VALLES,Mollet del Valles Town Hall
1393,AJUNTAMENT DE SABADELL,Sabadell Town Hall
1394,Ajuntament de Sant Feliu de llobregat,Ayuntamiento de Sant Feliu de Llobregat
1395,AJUNTAMENT DE VILANOVA I LA GELTRU,Vilanova i la Geltru Town Hall
1396,AJUNTAMIENTO DE SANT CUGAT DEL VALLES,Gathering of Sant Cugat del Valles
1397,AK GROUP,And Group
1398,"AKA KERESKEDELMI, TERMELO ES SZOLGALTATO KORLATOLT FELELOSSEGU TARSASAG","Aka Kereskedelmi, Termelo Es Szolgaltato Korlatolt Felelossegu Tarsasag"
1399,AKADEMIA E STUDIMEVE ALBANOLOGJIKE,The Academy of Albanological Studies
1400,AKADEMIA GORNICZO-HUTNICZA IM. STANISLAWA STASZICA W KRAKOWIE,The Gornico-metallurgical Academy Stanislawa Staszica in Krakow
1401,AKADEMIA LEONA KOZMINSKIEGO,Akademia Leon Kozminski
1402,AKADEMIA MARYNARKI WOJENNEJ,Naval Academy
1403,AKADEMIA MORSKA W SZCZECINIE AM,Marine Academy in Szczecin AM
1404,Akademia Sztuk Pieknych im Jana Matejki w Krakowie,Academy of Arts of Pieknych John Matejki in Krakow
1405,AKADEMIA SZTUK PIEKNYCH W WARSZAWIE,Academy of Fine Arts in Warsaw
1406,AKADEMIA SZTUKI W SZCZECINIE,Art Academy in Szczecin
1407,AKADEMIA SZTUKI WOJENNEJ,Martial Arts Academy
1408,AKADEMIA WYCHOWANIA FIZYCZNEGO IM EUGENIUSZA PIASECKIEGO,Academy of Physical Education by Eugeniusz Piasecki
1409,AKADEMIE DER BILDENDEN KUNSTE WIEN,Academy of visual arts Vienna
1410,AKADEMIE DEUTSCHES BAECKERHANDWERKNORD GGMBH,Academy German Bazeckerhandwerknord gGmbH
1411,AKADEMIE FUR ALTERSFORSCHUNG AM HAUS DER BARMHERZIGKEIT,Academy of age research at the house of mercy
1412,AKADEMIE FUR OFFENTLICHES GESUNDHEITSWESEN IN DUSSELDORF,Academy for public health in Dusseldorf
1413,AKADEMIE VED CESKE REPUBLIKY,CZECH ACADEMY OF SCIENCES
1414,AKADEMIEN DER WISSENSCHAFTEN SCHWEIZ VEREIN,Academies of Sciences Switzerland Club
1415,AKADEMISKA HUS AKTIEBOLAG,Academic House Companies
1416,"AKADEMIYA ZA MUZIKALNO, TANTZOVO IIZOBRAZITELNO IZKUSTVO PLOVDIV","Academy of Music, Dance Fine Arts Plovdiv"
1417,AKADEMSKA RAZISKOVALNA MREZA SLOVENIJE,Academic Research Network of Slovenia
1418,AKADIMAIKO DIADIKTYO,Academic Internet
1419,AKCIJU SABIEDRIBA AUGSTSPRIEGUMA TIKLS,Stock Company High Voltage Net
1420,AKCIJU SABIEDRIBA PASAZIERU VILCIENS,Stock Company Society Train
1421,AKCIJU SABIEDRIBA SADALES TIKLS,Share Company Distribution Network
1422,AKCIJU SABIEDRIBA TRANSPORTA UN SAKARU INSTITUTS,Stock Company Transport and Communications Institute
1423,AKCIONI PER NENA DHE FEMIJE,Action for Mother and Children
1424,AKDENIZ CHEMSON ADDITIVES AG,Memory CHEMSON ADDITIVES AG
1425,AKDENIZ KORUMA DERNEGI,Mediterranean Protection Association
1426,AKDENIZ UNIVERSITY,Memory UNIVERSITY
1427,AKEO PLUS,Akeo plus
1428,AKER ARCTIC TECHNOLOGY OY,AKER ARCTIC TECHNOLOGY OY
1429,AKERSHUS FYLKESKOMMUNE,Akershus County Council
1430,AKERSHUS UNIVERSITETSSYKEHUS HF,Akershus University Hospital HF
1431,AKETH INVESTMENTS NETWORK SERVICESSL,AKETH INVESTMENTS NETWORK SERVICESSL
1432,AKG GAZBETON ISLETMELERI SANAYI VETICARETCARET AS,AKG Gazeton Weats SENAYAY VETICARETCARET AS
1433,AKG SHPK,KPG KPS
1434,AKG VERWALTUNGSGESELLSCHAFT MBH,AKG Verwaltungsgesellschaft mbH
1435,AKIANI,Ate.
1436,AKIET BV,AKIET BV
1437,AKINAO,Akinao
1438,AKIRA TECHNOLOGIES SARL,AKIRA TECHNOLOGIES SARL
1439,AKKA DSW GMBH,Uka DSW GmbH
